Name,Area Type,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,,2011-12 Changes,2012-13 Changes,2013-14 Changes,2014-15 Changes,2015-16 Changes,2016-17 Changes,2017-18 Changes,2018-19 Changes,2019-20 Changes,2020-21 Changes,2021-22 Changes,2022-23 Changes,2023-24 Changes,2024-25 Changes
Lake Cowichan,T,"3,026","3,063","3,113","3,193","3,261","3,357","3,354","3,395","3,433","3,501","3,432","3,524","3,607","3,694","3,757",,1.20%,1.60%,2.60%,2.10%,2.90%,-0.10%,1.20%,1.10%,2.00%,-2.00%,2.70%,2.40%,2.40%,1.70%
Pemberton,VL,"2,508","2,537","2,573","2,632","2,617","2,730","2,926","3,069","3,246","3,365","3,622","3,746","3,759","3,770","3,620",,1.20%,1.40%,2.30%,-0.60%,4.30%,7.20%,4.90%,5.80%,3.70%,7.60%,3.40%,0.30%,0.30%,-4.00%
Mackenzie,DM,"3,595","3,588","3,708","3,772","3,825","3,891","3,809","3,867","3,866","3,667","3,389","3,372","3,375","3,392","3,442",,-0.20%,3.30%,1.70%,1.40%,1.70%,-2.10%,1.50%,0.00%,-5.10%,-7.60%,-0.50%,0.10%,0.50%,1.50%
Enderby,CY,"2,960","3,018","2,930","3,015","3,023","3,057","3,097","3,019","3,085","3,163","3,129","3,201","3,252","3,278","3,292",,2.00%,-2.90%,2.90%,0.30%,1.10%,1.30%,-2.50%,2.20%,2.50%,-1.10%,2.30%,1.60%,0.80%,0.40%
Houston,DM,"3,192","3,190","3,184","3,241","3,126","3,112","3,099","3,112","3,131","3,179","3,181","3,185","3,197","3,154","3,114",,-0.10%,-0.20%,1.80%,-3.50%,-0.40%,-0.40%,0.40%,0.60%,1.50%,0.10%,0.10%,0.40%,-1.30%,-1.30%
Princeton,T,"2,747","2,843","2,788","2,819","2,841","2,934","2,813","2,819","2,807","2,993","3,000","3,066","3,098","3,133","3,050",,3.50%,-1.90%,1.10%,0.80%,3.30%,-4.10%,0.20%,-0.40%,6.60%,0.20%,2.20%,1.00%,1.10%,-2.60%
Elkford,DM,"2,586","2,575","2,624","2,629","2,633","2,608","2,667","2,741","2,808","2,827","2,873","2,913","2,967","2,969","3,030",,-0.40%,1.90%,0.20%,0.20%,-0.90%,2.30%,2.80%,2.40%,0.70%,1.60%,1.40%,1.90%,0.10%,2.10%
Sicamous,DM,"2,467","2,449","2,452","2,443","2,470","2,509","2,555","2,601","2,718","2,658","2,695","2,765","2,825","2,852","2,854",,-0.70%,0.10%,-0.40%,1.10%,1.60%,1.80%,1.80%,4.50%,-2.20%,1.40%,2.60%,2.20%,1.00%,0.10%
Tofino,DM,"1,947","1,972","1,978","2,046","2,063","2,080","2,210","2,321","2,519","2,619","2,664","2,716","2,734","2,754","2,772",,1.30%,0.30%,3.40%,0.80%,0.80%,6.30%,5.00%,8.50%,4.00%,1.70%,2.00%,0.70%,0.70%,0.70%
Highlands,DM,"2,170","2,226","2,244","2,292","2,311","2,323","2,409","2,468","2,514","2,527","2,581","2,691","2,713","2,746","2,753",,2.60%,0.80%,2.10%,0.80%,0.50%,3.70%,2.40%,1.90%,0.50%,2.10%,4.30%,0.80%,1.20%,0.30%
Tumbler Ridge,DM,"2,760","2,589","2,506","2,378","2,214","2,060","2,132","2,301","2,423","2,394","2,513","2,513","2,668","2,717","2,663",,-6.20%,-3.20%,-5.10%,-6.90%,-7.00%,3.50%,7.90%,5.30%,-1.20%,5.00%,0.00%,6.20%,1.80%,-2.00%
Chase,VL,"2,510","2,467","2,433","2,394","2,352","2,347","2,379","2,428","2,448","2,457","2,459","2,514","2,562","2,596","2,591",,-1.70%,-1.40%,-1.60%,-1.80%,-0.20%,1.40%,2.10%,0.80%,0.40%,0.10%,2.20%,1.90%,1.30%,-0.20%
Anmore,VL,"2,145","2,224","2,254","2,303","2,292","2,316","2,430","2,419","2,453","2,452","2,456","2,527","2,538","2,577","2,508",,3.70%,1.30%,2.20%,-0.50%,1.00%,4.90%,-0.50%,1.40%,0.00%,0.20%,2.90%,0.40%,1.50%,-2.70%
Clearwater,DM,"2,358","2,357","2,362","2,368","2,377","2,417","2,432","2,390","2,390","2,425","2,462","2,475","2,447","2,553","2,500",,0.00%,0.20%,0.30%,0.40%,1.70%,0.60%,-1.70%,0.00%,1.50%,1.50%,0.50%,-1.10%,4.30%,-2.10%
Chetwynd,DM,"2,709","2,720","2,720","2,707","2,659","2,624","2,582","2,549","2,512","2,463","2,420","2,430","2,443","2,474","2,484",,0.40%,0.00%,-0.50%,-1.80%,-1.30%,-1.60%,-1.30%,-1.50%,-2.00%,-1.70%,0.40%,0.50%,1.30%,0.40%
Ucluelet,DM,"1,672","1,642","1,697","1,649","1,701","1,808","1,920","1,881","1,941","2,060","2,179","2,198","2,265","2,372","2,452",,-1.80%,3.30%,-2.80%,3.20%,6.30%,6.20%,-2.00%,3.20%,6.10%,5.80%,0.90%,3.00%,4.70%,3.40%
Port McNeill,T,"2,540","2,460","2,429","2,431","2,433","2,419","2,428","2,399","2,378","2,412","2,450","2,446","2,390","2,406","2,402",,-3.10%,-1.30%,0.10%,0.10%,-0.60%,0.40%,-1.20%,-0.90%,1.40%,1.60%,-0.20%,-2.30%,0.70%,-0.20%
Logan Lake,DM,"2,085","2,032","1,965","2,000","2,055","2,048","2,115","2,180","2,183","2,290","2,325","2,384","2,365","2,347","2,337",,-2.50%,-3.30%,1.80%,2.80%,-0.30%,3.30%,3.10%,0.10%,4.90%,1.50%,2.50%,-0.80%,-0.80%,-0.40%
Lumby,VL,"1,764","1,787","1,802","1,839","1,874","1,909","1,959","2,004","2,053","2,099","2,145","2,194","2,229","2,247","2,257",,1.30%,0.80%,2.10%,1.90%,1.90%,2.60%,2.30%,2.40%,2.20%,2.20%,2.30%,1.60%,0.80%,0.40%
Harrison Hot Springs,VL,"1,479","1,438","1,444","1,478","1,479","1,525","1,617","1,717","1,811","1,889","1,975","2,017","2,041","2,105","2,148",,-2.80%,0.40%,2.40%,0.10%,3.10%,6.00%,6.20%,5.50%,4.30%,4.60%,2.10%,1.20%,3.10%,2.00%
Fruitvale,VL,"2,039","2,019","1,993","1,987","1,975","1,987","1,993","2,012","2,019","2,015","2,033","2,059","2,065","2,073","2,068",,-1.00%,-1.30%,-0.30%,-0.60%,0.60%,0.30%,1.00%,0.30%,-0.20%,0.90%,1.30%,0.30%,0.40%,-0.20%
Lillooet,DM,"2,347","2,356","2,345","2,338","2,298","2,361","2,383","2,365","2,351","2,376","2,383","2,332","2,398","2,255","2,065",,0.40%,-0.50%,-0.30%,-1.70%,2.70%,0.90%,-0.80%,-0.60%,1.10%,0.30%,-2.10%,2.80%,-6.00%,-8.40%
100 Mile House,DM,"1,918","1,922","1,936","1,958","1,971","1,983","1,988","1,999","2,000","1,987","1,993","2,003","2,013","2,022","2,030",,0.20%,0.70%,1.10%,0.70%,0.60%,0.30%,0.60%,0.10%,-0.70%,0.30%,0.50%,0.50%,0.40%,0.40%
Burns Lake,VL,"2,068","2,028","1,982","1,941","1,888","1,859","1,874","1,908","1,949","1,974","2,004","2,010","2,015","2,013","2,007",,-1.90%,-2.30%,-2.10%,-2.70%,-1.50%,0.80%,1.80%,2.10%,1.30%,1.50%,0.30%,0.20%,-0.10%,-0.30%
Barriere,DM,"1,788","1,777","1,771","1,765","1,761","1,767","1,784","1,813","1,821","1,820","1,816","1,856","1,892","1,917","1,913",,-0.60%,-0.30%,-0.30%,-0.20%,0.30%,1.00%,1.60%,0.40%,-0.10%,-0.20%,2.20%,1.90%,1.30%,-0.20%
Keremeos,VL,"1,340","1,354","1,382","1,435","1,483","1,531","1,529","1,581","1,581","1,603","1,648","1,682","1,729","1,805","1,779",,1.00%,2.10%,3.80%,3.30%,3.20%,-0.10%,3.40%,0.00%,1.40%,2.80%,2.10%,2.80%,4.40%,-1.40%
Ashcroft,VL,"1,646","1,582","1,663","1,624","1,544","1,608","1,697","1,631","1,639","1,686","1,705","1,737","1,730","1,720","1,744",,-3.90%,5.10%,-2.30%,-4.90%,4.10%,5.50%,-3.90%,0.50%,2.90%,1.10%,1.90%,-0.40%,-0.60%,1.40%
Nakusp,VL,"1,586","1,583","1,580","1,595","1,619","1,637","1,698","1,692","1,717","1,657","1,640","1,667","1,702","1,730","1,740",,-0.20%,-0.20%,0.90%,1.50%,1.10%,3.70%,-0.40%,1.50%,-3.50%,-1.00%,1.60%,2.10%,1.60%,0.60%
Warfield,VL,"1,729","1,663","1,662","1,695","1,694","1,749","1,743","1,745","1,734","1,765","1,830","1,822","1,761","1,746","1,729",,-3.80%,-0.10%,2.00%,-0.10%,3.20%,-0.30%,0.10%,-0.60%,1.80%,3.70%,-0.40%,-3.30%,-0.90%,-1.00%
Sun Peaks Mountain,VL,383,441,494,588,617,680,836,"1,028","1,227","1,364","1,467","1,499","1,528","1,549","1,546",,15.10%,12.00%,19.00%,4.90%,10.20%,22.90%,23.00%,19.40%,11.20%,7.60%,2.20%,1.90%,1.40%,-0.20%
Telkwa,VL,"1,387","1,369","1,384","1,350","1,361","1,393","1,433","1,460","1,483","1,518","1,543","1,546","1,551","1,549","1,544",,-1.30%,1.10%,-2.50%,0.80%,2.40%,2.90%,1.90%,1.60%,2.40%,1.60%,0.20%,0.30%,-0.10%,-0.30%
Fort St. James,DM,"1,723","1,702","1,666","1,719","1,702","1,647","1,655","1,653","1,617","1,506","1,437","1,455","1,379","1,470","1,542",,-1.20%,-2.10%,3.20%,-1.00%,-3.20%,0.50%,-0.10%,-2.20%,-6.90%,-4.60%,1.30%,-5.20%,6.60%,4.90%
Radium Hot Springs,VL,783,791,785,801,845,814,934,"1,011","1,142","1,255","1,392","1,421","1,454","1,479","1,489",,1.00%,-0.80%,2.00%,5.50%,-3.70%,14.70%,8.20%,13.00%,9.90%,10.90%,2.10%,2.30%,1.70%,0.70%
Taylor,DM,"1,421","1,460","1,489","1,513","1,522","1,538","1,505","1,478","1,448","1,413","1,380","1,384","1,392","1,410","1,415",,2.70%,2.00%,1.60%,0.60%,1.10%,-2.10%,-1.80%,-2.00%,-2.40%,-2.30%,0.30%,0.60%,1.30%,0.40%
Lions Bay,VL,"1,337","1,317","1,291","1,337","1,370","1,387","1,400","1,420","1,428","1,438","1,432","1,456","1,459","1,460","1,375",,-1.50%,-2.00%,3.60%,2.50%,1.20%,0.90%,1.40%,0.60%,0.70%,-0.40%,1.70%,0.20%,0.10%,-5.80%
Gold River,VL,"1,279","1,338","1,319","1,285","1,256","1,246","1,267","1,251","1,278","1,286","1,286","1,316","1,289","1,301","1,339",,4.60%,-1.40%,-2.60%,-2.30%,-0.80%,1.70%,-1.30%,2.20%,0.60%,0.00%,2.30%,-2.10%,0.90%,2.90%
Salmo,VL,"1,168","1,171","1,151","1,242","1,158","1,174","1,203","1,153","1,193","1,213","1,171","1,238","1,253","1,300","1,310",,0.30%,-1.70%,7.90%,-6.80%,1.40%,2.50%,-4.20%,3.50%,1.70%,-3.50%,5.70%,1.20%,3.80%,0.80%
Kaslo,VL,"1,040","1,025","1,011","1,005",999,999,"1,015","1,033","1,049","1,064","1,077","1,096","1,118","1,136","1,141",,-1.40%,-1.40%,-0.60%,-0.60%,0.00%,1.60%,1.80%,1.50%,1.40%,1.20%,1.80%,2.00%,1.60%,0.40%
Valemount,VL,"1,038","1,038","1,045","1,049","1,058","1,063","1,071","1,121","1,037","1,095","1,091","1,087","1,055","1,051","1,082",,0.00%,0.70%,0.40%,0.90%,0.50%,0.80%,4.70%,-7.50%,5.60%,-0.40%,-0.40%,-2.90%,-0.40%,2.90%
Montrose,VL,"1,037","1,083","1,092","1,026","1,007","1,030","1,032","1,043","1,046","1,045","1,055","1,068","1,071","1,075","1,072",,4.40%,0.80%,-6.00%,-1.90%,2.30%,0.20%,1.10%,0.30%,-0.10%,1.00%,1.20%,0.30%,0.40%,-0.30%
Cache Creek,VL,"1,048","1,033","1,023","1,010",995,994,998,"1,011","1,010","1,005",999,"1,021","1,041","1,055","1,053",,-1.40%,-1.00%,-1.30%,-1.50%,-0.10%,0.40%,1.30%,-0.10%,-0.50%,-0.60%,2.20%,2.00%,1.30%,-0.20%
Hudson's Hope,DM,994,978,"1,023","1,060","1,020","1,053","1,040","1,032","1,022","1,007",993,997,"1,002","1,015","1,019",,-1.60%,4.60%,3.60%,-3.80%,3.20%,-1.20%,-0.80%,-1.00%,-1.50%,-1.40%,0.40%,0.50%,1.30%,0.40%
Daajing Giids,VL,952,951,938,924,915,907,962,961,964,960,984,"1,002","1,053","1,058",999,,-0.10%,-1.40%,-1.50%,-1.00%,-0.90%,6.10%,-0.10%,0.30%,-0.40%,2.50%,1.80%,5.10%,0.50%,-5.60%
Fraser Lake,VL,"1,188","1,150","1,153","1,121","1,088","1,023","1,028",995,970,975,"1,008",947,981,957,942,,-3.20%,0.30%,-2.80%,-2.90%,-6.00%,0.50%,-3.20%,-2.50%,0.50%,3.40%,-6.10%,3.60%,-2.40%,-1.60%
Masset,VL,894,872,856,842,826,827,823,841,822,862,869,871,903,848,914,,-2.50%,-1.80%,-1.60%,-1.90%,0.10%,-0.50%,2.20%,-2.30%,4.90%,0.80%,0.20%,3.70%,-6.10%,7.80%
Canal Flats,VL,727,720,716,712,705,698,722,749,780,804,830,848,868,883,889,,-1.00%,-0.60%,-0.60%,-1.00%,-1.00%,3.40%,3.70%,4.10%,3.10%,3.20%,2.20%,2.40%,1.70%,0.70%
Pouce Coupe,VL,756,777,794,809,820,826,819,815,810,801,793,796,800,810,813,,2.80%,2.20%,1.90%,1.40%,0.70%,-0.80%,-0.50%,-0.60%,-1.10%,-1.00%,0.40%,0.50%,1.30%,0.40%
sh?sh lh Nation Gov Dist (Part-Sunshine Coast),IGD,806,784,732,770,742,696,709,724,736,729,773,785,790,800,806,,-2.70%,-6.60%,5.20%,-3.60%,-6.20%,1.90%,2.10%,1.70%,-1.00%,6.00%,1.60%,0.60%,1.30%,0.80%
Port Alice,VL,808,795,796,778,711,679,654,672,690,711,763,772,772,780,789,,-1.60%,0.10%,-2.30%,-8.60%,-4.50%,-3.70%,2.80%,2.70%,3.00%,7.30%,1.20%,0.00%,1.00%,1.20%
Greenwood,CY,705,742,706,665,689,680,687,698,705,708,718,727,729,732,730,,5.20%,-4.90%,-5.80%,3.60%,-1.30%,1.00%,1.60%,1.00%,0.40%,1.40%,1.30%,0.30%,0.40%,-0.30%
Clinton,VL,638,618,602,624,647,663,623,672,680,652,659,646,698,682,707,,-3.10%,-2.60%,3.70%,3.70%,2.50%,-6.00%,7.90%,1.20%,-4.10%,1.10%,-2.00%,8.00%,-2.30%,3.70%
Belcarra,VL,655,658,674,665,647,667,686,705,686,686,710,725,735,720,702,,0.50%,2.40%,-1.30%,-2.70%,3.10%,2.80%,2.80%,-2.70%,0.00%,3.50%,2.10%,1.40%,-2.00%,-2.50%
Midway,VL,676,657,637,607,645,664,653,666,669,664,669,671,695,674,671,,-2.80%,-3.00%,-4.70%,6.30%,2.90%,-1.70%,2.00%,0.50%,-0.70%,0.80%,0.30%,3.60%,-3.00%,-0.40%
New Hazelton,DM,675,662,650,641,623,600,602,604,610,617,625,629,641,655,666,,-1.90%,-1.80%,-1.40%,-2.80%,-3.70%,0.30%,0.30%,1.00%,1.10%,1.30%,0.60%,1.90%,2.20%,1.70%
McBride,VL,596,602,611,618,629,637,635,633,628,620,608,614,626,639,646,,1.00%,1.50%,1.10%,1.80%,1.30%,-0.30%,-0.30%,-0.80%,-1.30%,-1.90%,1.00%,2.00%,2.10%,1.10%
New Denver,VL,505,496,487,484,483,483,486,490,492,494,496,506,516,524,527,,-1.80%,-1.80%,-0.60%,-0.20%,0.00%,0.60%,0.80%,0.40%,0.40%,0.40%,2.00%,2.00%,1.60%,0.60%
Stewart,DM,497,496,478,444,431,419,440,463,487,512,539,554,514,514,515,,-0.20%,-3.60%,-7.10%,-2.90%,-2.80%,5.00%,5.20%,5.20%,5.10%,5.30%,2.80%,-7.20%,0.00%,0.20%
Slocan,VL,300,299,299,299,300,302,319,339,357,375,391,449,464,492,488,,-0.30%,0.00%,0.00%,0.30%,0.70%,5.60%,6.30%,5.30%,5.00%,4.30%,14.80%,3.30%,6.00%,-0.80%
Alert Bay,VL,438,448,461,475,478,489,463,441,439,424,464,471,471,468,465,,2.30%,2.90%,3.00%,0.60%,2.30%,-5.30%,-4.80%,-0.50%,-3.40%,9.40%,1.50%,0.00%,-0.60%,-0.60%
Port Edward,DM,550,541,543,494,495,484,452,451,441,481,491,478,462,434,442,,-1.60%,0.40%,-9.00%,0.20%,-2.20%,-6.60%,-0.20%,-2.20%,9.10%,2.10%,-2.60%,-3.30%,-6.10%,1.80%
Tahsis,VL,317,330,322,283,275,257,280,320,357,391,401,412,381,393,418,,4.10%,-2.40%,-12.10%,-2.80%,-6.50%,8.90%,14.30%,11.60%,9.50%,2.60%,2.70%,-7.50%,3.10%,6.40%
Granisle,VL,301,288,287,306,306,309,314,322,331,338,345,346,332,360,357,,-4.30%,-0.30%,6.60%,0.00%,1.00%,1.60%,2.50%,2.80%,2.10%,2.10%,0.30%,-4.00%,8.40%,-0.80%
Port Clements,VL,381,340,327,297,295,293,310,327,329,350,351,351,350,353,352,,-10.80%,-3.80%,-9.20%,-0.70%,-0.70%,5.80%,5.50%,0.60%,6.40%,0.30%,0.00%,-0.30%,0.90%,-0.30%
Sayward,VL,320,292,277,292,291,325,342,360,375,366,346,320,322,324,329,,-8.80%,-5.10%,5.40%,-0.30%,11.70%,5.20%,5.30%,4.20%,-2.40%,-5.50%,-7.50%,0.60%,0.60%,1.50%
Hazelton,VL,305,310,316,324,325,322,315,308,306,302,300,303,309,316,321,,1.60%,1.90%,2.50%,0.30%,-0.90%,-2.20%,-2.20%,-0.60%,-1.30%,-0.70%,1.00%,2.00%,2.30%,1.60%
Wells,DM,247,241,237,233,228,227,227,228,228,227,227,228,229,230,231,,-2.40%,-1.70%,-1.70%,-2.10%,-0.40%,0.00%,0.40%,0.00%,-0.40%,0.00%,0.40%,0.40%,0.40%,0.40%
Lytton,VL,231,233,236,240,247,256,250,244,235,225,216,221,225,228,228,,0.90%,1.30%,1.70%,2.90%,3.60%,-2.30%,-2.40%,-3.70%,-4.30%,-4.00%,2.30%,1.80%,1.30%,0.00%
Silverton,VL,196,195,195,195,197,198,196,194,191,188,185,188,192,195,196,,-0.50%,0.00%,0.00%,1.00%,0.50%,-1.00%,-1.00%,-1.50%,-1.60%,-1.60%,1.60%,2.10%,1.60%,0.50%
Zeballos,VL,127,123,118,115,111,111,116,120,123,127,130,133,134,135,136,,-3.10%,-4.10%,-2.50%,-3.50%,0.00%,4.50%,3.40%,2.50%,3.30%,2.40%,2.30%,0.80%,0.70%,0.70%
sh?sh lh Nation Gov Dist (Part-qathet),IGD,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,,0.00%,-4.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
