Name,Area Type,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,,2011-12 Changes,2012-13 Changes,2013-14 Changes,2014-15 Changes,2015-16 Changes,2016-17 Changes,2017-18 Changes,2018-19 Changes,2019-20 Changes,2020-21 Changes,2021-22 Changes,2022-23 Changes,2023-24 Changes,2024-25 Changes
Vernon,CY,"38,813","39,278","39,500","40,226","40,813","41,677","42,470","43,203","44,262","45,343","46,199","47,249","48,106","48,920","49,527",,1.20%,0.60%,1.80%,1.50%,2.10%,1.90%,1.70%,2.50%,2.40%,1.90%,2.30%,1.80%,1.70%,1.20%
West Vancouver,DM,"43,238","43,418","43,652","43,799","43,769","43,889","43,957","44,162","44,636","45,146","45,539","46,489","47,507","48,640","47,929",,0.40%,0.50%,0.30%,-0.10%,0.30%,0.20%,0.50%,1.10%,1.10%,0.90%,2.10%,2.20%,2.40%,-1.50%
Mission,DM,"37,058","37,820","37,985","38,530","39,281","40,428","41,571","42,250","42,836","42,906","43,340","43,585","45,005","46,552","47,280",,2.10%,0.40%,1.40%,1.90%,2.90%,2.80%,1.60%,1.40%,0.20%,1.00%,0.60%,3.30%,3.40%,1.60%
West Kelowna,CY,"31,466","31,791","32,347","32,776","33,357","34,040","34,697","35,404","35,961","36,794","37,568","39,048","39,873","40,279","40,274",,1.00%,1.70%,1.30%,1.80%,2.00%,1.90%,2.00%,1.60%,2.30%,2.10%,3.90%,2.10%,1.00%,0.00%
Penticton,CY,"33,385","33,122","33,344","33,712","34,245","34,998","35,704","36,770","37,462","37,747","38,115","38,432","38,453","38,616","39,068",,-0.80%,0.70%,1.10%,1.60%,2.20%,2.00%,3.00%,1.90%,0.80%,1.00%,0.80%,0.10%,0.40%,1.20%
Campbell River,CY,"32,106","32,205","32,531","33,001","33,534","34,302","34,830","35,545","35,963","36,383","36,872","37,585","37,827","38,150","38,300",,0.30%,1.00%,1.40%,1.60%,2.30%,1.50%,2.10%,1.20%,1.20%,1.30%,1.90%,0.60%,0.90%,0.40%
Port Moody,CY,"33,900","34,224","34,584","35,206","35,299","35,065","34,890","35,043","35,075","34,937","34,987","36,221","37,524","38,990","38,285",,1.00%,1.10%,1.80%,0.30%,-0.70%,-0.50%,0.40%,0.10%,-0.40%,0.10%,3.50%,3.60%,3.90%,-1.80%
"Langley, City of",CY,"25,724","26,215","26,549","26,654","26,476","27,160","27,877","28,411","28,882","29,510","30,333","32,141","33,482","35,334","35,444",,1.90%,1.30%,0.40%,-0.70%,2.60%,2.60%,1.90%,1.70%,2.20%,2.80%,6.00%,4.20%,5.50%,0.30%
North Cowichan,DM,"29,262","29,358","29,410","29,790","30,093","30,772","31,295","31,912","32,210","32,621","33,087","33,553","33,637","34,196","34,525",,0.30%,0.20%,1.30%,1.00%,2.30%,1.70%,2.00%,0.90%,1.30%,1.40%,1.40%,0.30%,1.70%,1.00%
Courtenay,CY,"24,662","24,589","24,808","25,276","26,074","26,594","27,135","27,818","28,436","28,907","29,519","30,374","31,136","32,037","32,869",,-0.30%,0.90%,1.90%,3.20%,2.00%,2.00%,2.50%,2.20%,1.70%,2.10%,2.90%,2.50%,2.90%,2.60%
Squamish,DM,"17,642","18,378","18,851","19,286","19,515","20,579","21,422","22,017","22,604","23,631","25,063","25,502","26,454","27,574","28,578",,4.20%,2.60%,2.30%,1.20%,5.50%,4.10%,2.80%,2.70%,4.50%,6.10%,1.80%,3.70%,4.20%,3.60%
White Rock,CY,"19,544","19,705","19,761","20,143","20,297","20,643","21,117","21,638","21,957","22,240","22,567","23,524","24,508","25,229","25,057",,0.80%,0.30%,1.90%,0.80%,1.70%,2.30%,2.50%,1.50%,1.30%,1.50%,4.20%,4.20%,2.90%,-0.70%
Fort St. John,CY,"19,389","20,175","20,616","21,115","21,391","21,374","21,505","22,037","22,375","22,564","22,665","22,835","23,101","23,797","24,383",,4.10%,2.20%,2.40%,1.30%,-0.10%,0.60%,2.50%,1.50%,0.80%,0.40%,0.80%,1.20%,3.00%,2.50%
Colwood,CY,"16,463","16,664","16,838","16,987","17,068","17,669","17,949","18,339","18,883","19,330","19,798","20,972","21,590","22,236","22,794",,1.20%,1.00%,0.90%,0.50%,3.50%,1.60%,2.20%,3.00%,2.40%,2.40%,5.90%,2.90%,3.00%,2.50%
Cranbrook,CY,"19,647","19,877","20,150","20,346","20,580","20,796","20,833","20,976","21,288","21,368","21,417","21,828","22,355","22,623","22,703",,1.20%,1.40%,1.00%,1.20%,1.00%,0.20%,0.70%,1.50%,0.40%,0.20%,1.90%,2.40%,1.20%,0.40%
Pitt Meadows,CY,"18,176","18,426","18,617","18,952","19,142","19,430","19,790","19,972","19,983","19,879","19,919","20,543","21,067","21,298","20,892",,1.40%,1.00%,1.80%,1.00%,1.50%,1.90%,0.90%,0.10%,-0.50%,0.20%,3.10%,2.60%,1.10%,-1.90%
Salmon Arm,CY,"17,660","17,558","17,587","17,718","17,936","18,319","18,849","19,114","19,365","19,644","20,081","20,641","20,787","20,825","20,891",,-0.60%,0.20%,0.70%,1.20%,2.10%,2.90%,1.40%,1.30%,1.40%,2.20%,2.80%,0.70%,0.20%,0.30%
Port Alberni,CY,"17,978","17,882","17,725","17,712","17,950","18,284","18,347","18,523","18,629","18,767","18,938","19,287","19,418","19,526","19,671",,-0.50%,-0.90%,-0.10%,1.30%,1.90%,0.30%,1.00%,0.60%,0.70%,0.90%,1.80%,0.70%,0.60%,0.70%
Esquimalt,DM,"16,616","17,252","17,397","17,762","18,000","18,527","18,382","18,606","18,681","18,515","18,298","18,759","19,072","19,184","19,512",,3.80%,0.80%,2.10%,1.30%,2.90%,-0.80%,1.20%,0.40%,-0.90%,-1.20%,2.50%,1.70%,0.60%,1.70%
Oak Bay,DM,"18,180","18,394","18,580","18,648","18,411","18,654","18,382","18,405","18,359","18,465","18,533","18,815","18,736","18,777","18,626",,1.20%,1.00%,0.40%,-1.30%,1.30%,-1.50%,0.10%,-0.20%,0.60%,0.40%,1.50%,-0.40%,0.20%,-0.80%
Central Saanich,DM,"16,155","16,368","16,513","16,709","16,942","17,457","17,626","17,832","17,859","18,014","17,989","18,171","18,125","18,314","18,184",,1.30%,0.90%,1.20%,1.40%,3.00%,1.00%,1.20%,0.20%,0.90%,-0.10%,1.00%,-0.30%,1.00%,-0.70%
Lake Country,DM,"11,972","12,248","12,346","12,747","13,066","13,548","14,224","14,913","15,398","15,924","16,513","17,125","17,396","17,563","17,637",,2.30%,0.80%,3.20%,2.50%,3.70%,5.00%,4.80%,3.30%,3.40%,3.70%,3.70%,1.60%,1.00%,0.40%
Sooke,DM,"11,719","12,276","12,540","12,857","13,069","13,623","14,109","14,485","14,803","15,236","15,712","16,432","16,815","17,145","17,248",,4.80%,2.20%,2.50%,1.60%,4.20%,3.60%,2.70%,2.20%,2.90%,3.10%,4.60%,2.30%,2.00%,0.60%
Comox,T,"13,806","14,114","14,196","14,177","14,287","14,476","14,674","14,856","15,017","15,164","15,265","15,388","15,689","15,917","15,884",,2.20%,0.60%,-0.10%,0.80%,1.30%,1.40%,1.20%,1.10%,1.00%,0.70%,0.80%,2.00%,1.50%,-0.20%
Parksville,CY,"12,044","12,152","12,242","12,233","12,454","12,799","13,037","13,209","13,428","13,558","14,042","14,288","14,599","14,966","15,371",,0.90%,0.70%,-0.10%,1.80%,2.80%,1.90%,1.30%,1.70%,1.00%,3.60%,1.80%,2.20%,2.50%,2.70%
Whistler,DM,"10,232","10,542","10,887","11,457","11,810","12,622","13,322","13,999","14,924","15,446","14,771","15,276","15,859","15,854","15,090",,3.00%,3.30%,5.20%,3.10%,6.90%,5.50%,5.10%,6.60%,3.50%,-4.40%,3.40%,3.80%,0.00%,-4.80%
Powell River,CY,"13,273","13,282","13,357","13,418","13,344","13,564","13,727","13,902","13,997","14,240","14,392","14,558","14,793","14,866","14,947",,0.10%,0.60%,0.50%,-0.60%,1.60%,1.20%,1.30%,0.70%,1.70%,1.10%,1.20%,1.60%,0.50%,0.50%
Terrace,CY,"11,680","11,816","11,834","12,030","12,134","12,105","12,126","12,226","12,258","12,533","12,604","12,745","13,101","13,568","13,648",,1.20%,0.20%,1.70%,0.90%,-0.20%,0.20%,0.80%,0.30%,2.20%,0.60%,1.10%,2.80%,3.60%,0.60%
Dawson Creek,CY,"11,901","11,990","12,124","12,392","12,511","12,804","12,923","12,911","13,011","13,101","12,910","13,086","13,254","13,637","13,635",,0.70%,1.10%,2.20%,1.00%,2.30%,0.90%,-0.10%,0.80%,0.70%,-1.50%,1.40%,1.30%,2.90%,0.00%
Sidney,T,"11,268","11,428","11,442","11,611","11,733","12,004","12,193","12,354","12,382","12,531","12,614","13,060","13,197","13,301","13,445",,1.40%,0.10%,1.50%,1.10%,2.30%,1.60%,1.30%,0.20%,1.20%,0.70%,3.50%,1.00%,0.80%,1.10%
North Saanich,DM,"11,211","11,287","11,365","11,414","11,396","11,616","11,678","11,860","12,041","12,248","12,623","13,045","13,209","13,253","12,986",,0.70%,0.70%,0.40%,-0.20%,1.90%,0.50%,1.60%,1.50%,1.70%,3.10%,3.30%,1.30%,0.30%,-2.00%
Prince Rupert,CY,"12,704","12,712","12,689","12,737","12,712","12,707","12,805","12,839","12,848","12,800","12,895","12,859","12,782","12,936","12,903",,0.10%,-0.20%,0.40%,-0.20%,0.00%,0.80%,0.30%,0.10%,-0.40%,0.70%,-0.30%,-0.60%,1.20%,-0.30%
View Royal,T,"9,582","9,871","10,056","10,577","10,663","10,870","11,185","11,327","11,607","11,885","12,062","12,443","12,481","12,678","12,795",,3.00%,1.90%,5.20%,0.80%,1.90%,2.90%,1.30%,2.50%,2.40%,1.50%,3.20%,0.30%,1.60%,0.90%
Summerland,DM,"11,394","11,409","11,494","11,758","11,970","11,936","12,093","12,128","12,167","12,259","12,426","12,522","12,348","12,371","12,343",,0.10%,0.70%,2.30%,1.80%,-0.30%,1.30%,0.30%,0.30%,0.80%,1.40%,0.80%,-1.40%,0.20%,-0.20%
Nelson,CY,"10,420","10,398","10,551","10,575","10,826","10,989","11,097","11,303","11,508","11,537","11,586","11,585","11,914","12,110","12,126",,-0.20%,1.50%,0.20%,2.40%,1.50%,1.00%,1.90%,1.80%,0.30%,0.40%,0.00%,2.80%,1.60%,0.10%
